country_code_2,fiscal_year,gdp_amount
br,2017,"1,759.27"
bn,2017,13.038
bg,2017,50.73
bf,2017,13.433
bi,2017,3.512
kh,2017,20.86
cm,2017,33.521
ca,2017,"1,682.37"
cv,2017,0
cf,2017,2.096
td,2017,14.704
cl,2017,250.951
cn,2017,"13,173.59"
co,2017,303.75
km,2017,0.668
cd,2017,0
cg,2017,0
cr,2017,58.787
ci,2017,37.908
hr,2017,52.194
cy,2017,20.767
cz,2017,196.987
dk,2017,316.271
dj,2017,2.14
dm,2017,0.577
do,2017,73.41
ec,2017,104.773
eg,2017,0
sv,2017,27.679
gq,2017,10.399
er,2017,5.478
ee,2017,25.869
et,2017,77.438
fj,2017,4.973
fi,2017,246.361
fr,2017,"2,586.57"
ga,2017,15.478
gm,2017,0
ge,2017,15.677
de,2017,"3,595.41"
gh,2017,46.921
gr,2017,201.336
gd,2017,1.055
gt,2017,70.525
gn,2017,7.587
gw,2017,1.208
gy,2017,3.603
ht,2017,9.339
hn,2017,20.999
hk,2017,339.378
hu,2017,130.636
is,2017,18.588
in,2017,"2,607.41"
id,2017,950.438
ir,2017,0
ie,2017,254.356
il,2017,319.393
it,2017,"1,932.94"
jm,2017,14.713
jp,2017,"4,342.16"
jo,2017,43.821
kz,2017,195.269
ke,2017,76.758
ki,2017,0.169
kr,2017,"1,545.81"
kw,2017,141.776
kg,2017,8.301
la,2017,0
lv,2017,31.416
lb,2017,59.411
ls,2017,2.235
lr,2017,2.282
ly,2017,36.581
lt,2017,48.051
lu,2017,65.169
mk,2017,0
mg,2017,9.75
mw,2017,6.489
my,2017,392.439
mv,2017,3.483
ml,2017,12.913
mt,2017,10.343
mr,2017,5.138
mu,2017,12.902
mx,2017,"1,251.25"
md,2017,7.009
mn,2017,13.699
ma,2017,117.551
mz,2017,21.244
mm,2017,79.046
na,2017,14.924
np,2017,26.388
nl,2017,818.492
nz,2017,172.115
ni,2017,13.872
ne,2017,8.479
ng,2017,508.528
no,2017,415.19
om,2017,65.155
pk,2017,0
pa,2017,56.026
pg,2017,18.924
py,2017,31.441
pe,2017,193.59
ph,2017,366.753
pl,2017,540.186
pt,2017,212.015
qa,2017,212.121
ro,2017,196.786
ru,2017,"1,309.27"
rw,2017,10.091
ws,2017,0.912
st,2017,0.382
sa,2017,694.517
sn,2017,16.744
rs,2017,39.804
sc,2017,1.555
sl,2017,4.918
sg,2017,328.299
sk,2017,96.151
si,2017,46.062
sb,2017,1.386
za,2017,340.529
es,2017,"1,318.83"
lk,2017,94.209
sd,2017,93.817
sr,2017,5.744
sz,2017,4.445
se,2017,519.636
ch,2017,707.527
sy,2017,0
tw,2017,565.374
tj,2017,8.589
tz,2017,50.347
th,2017,411.266
tl,2017,0
tg,2017,4.918
to,2017,0.507
tt,2017,30.022
tn,2017,45.629
tr,2017,761.44
tm,2017,58.193
Ug,2017,29.258
ua,2017,104.307
ae,2017,382.619
gb,2017,"3,232.28"
us,2017,"19,555.87"
uy,2017,59.943
uz,2017,73.457
vu,2017,0.891
ve,2017,144.227
vn,2017,229.845
ye,2017,0
zm,2017,27.17
zw,2017,14.994
af,2018,0
al,2018,14.341
dz,2018,202.179
ao,2018,112.533
ag,2018,1.458
ar,2018,602.868
am,2018,11.63
au,2018,"1,381.51"
at,2018,418.402
az,2018,74.266
bs,2018,0
bh,2018,36.334
bd,2018,260.874
